BPM,TIMING,STRING,FRET1,FRET2,FRET3,FRET4,STROKE,CHORD,FACE,NECK,CASTANETS,SHAKER,TAMBOURINE,MOTION,COLOR
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,2,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,1,1,4,8,4,1,6,0,0,1,1,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,4,1,4,8,3,1,0,0,0,0,1,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,4,1,4,8,4,1,0,0,0,1,1,1,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,4,1,4,8,4,1,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,4,8,4,0,0,0,0,0,0,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,2,1,6,8,4,1,31,0,0,1,1,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,1,1,6,8,4,1,0,0,0,0,1,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,3,1,6,8,4,1,0,0,0,1,1,1,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,1,0,1,6,8,4,0,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,4,1,6,8,1,1,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,6,8,1,0,0,0,0,0,0,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,2,1,2,8,1,1,31,0,0,1,1,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,1,1,1,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,3,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,1,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,2,1,2,6,1,1,0,0,0,0,0,0,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,3,1,2,6,1,1,0,0,0,1,1,1,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,4,1,2,6,1,1,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,1,1,2,6,1,1,31,0,0,1,1,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,1,0,1,2,6,1,0,0,0,0,0,0,0,0,0
120,0,2,1,6,6,1,1,0,0,0,0,1,0,0,0
120,0,2,1,6,6,1,1,0,0,0,0,1,0,0,0
120,0,2,1,6,6,1,1,0,0,0,0,1,0,0,0
120,0,2,1,6,6,1,1,0,0,0,0,1,0,0,0
